OrigDate,Price,Open,High,Low,Vol.,Change %,Date
05/24/2024,52.99,52.99,52.99,52.99,0.00K,3.86%,2024-05-24
05/23/2024,51.02,51.02,51.02,51.02,0.00K,8.18%,2024-05-23
05/22/2024,47.16,47.16,47.16,47.16,0.00K,0.08%,2024-05-22
05/21/2024,47.13,47.13,47.13,47.13,0.00K,-2.09%,2024-05-21
05/20/2024,48.13,48.13,48.13,48.13,0.00K,-0.54%,2024-05-20
05/17/2024,48.39,48.39,48.39,48.39,0.00K,-3.57%,2024-05-17
05/16/2024,50.18,50.18,50.18,50.18,0.00K,-1.01%,2024-05-16
05/15/2024,50.69,50.69,50.69,50.69,0.00K,-1.27%,2024-05-15
05/14/2024,51.34,51.34,51.34,51.34,0.00K,-1.63%,2024-05-14
05/13/2024,52.19,52.19,52.19,52.19,0.00K,-1.51%,2024-05-13
45570,52.99,52.99,52.99,52.99,0.00K,5.98%,2024-10-05
45540,50,50,50,50,0.00K,4.28%,2024-09-05
45509,47.95,47.95,47.95,47.95,,-2.44%,2024-08-05
45478,49.15,49.15,49.15,49.15,,-7.25%,2024-07-05
45448,52.99,52.99,52.99,52.99,,0.00%,2024-06-05
45356,52.99,52.99,52.99,52.99,,0.00%,2024-03-05
45327,52.99,52.99,52.99,52.99,,0.00%,2024-02-05
04/30/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-30
04/29/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-29
04/26/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-26
04/25/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-25
04/24/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-24
04/22/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-22
04/19/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-19
04/18/2024,52.99,52.99,52.99,52.99,,0.00%,2024-04-18
04/17/2024,52.99,52.99,52.99,52.99,,0.04%,2024-04-17
04/16/2024,52.97,52.97,52.97,52.97,,0.87%,2024-04-16
04/15/2024,52.51,52.51,52.51,52.51,,7.58%,2024-04-15
45539,48.81,48.81,48.81,48.81,,-5.17%,2024-09-04
45508,51.48,51.48,51.48,51.48,,-2.86%,2024-08-04
45416,52.99,52.99,52.99,52.99,,0.07%,2024-05-04
45386,52.95,52.95,52.95,52.95,,0.89%,2024-04-04
45355,52.49,52.49,52.49,52.49,,0.55%,2024-03-04
45326,52.2,52.2,52.2,52.2,,-0.04%,2024-02-04
45295,52.22,52.22,52.22,52.22,,-1.45%,2024-01-04
03/29/2024,52.99,52.99,52.99,52.99,,1.09%,2024-03-29
03/28/2024,52.42,52.42,52.42,52.42,,1.83%,2024-03-28
03/27/2024,51.48,51.48,51.48,51.48,,-1.79%,2024-03-27
03/26/2024,52.42,52.42,52.42,52.42,,-0.77%,2024-03-26
03/25/2024,52.83,52.83,52.83,52.83,,0.14%,2024-03-25
03/22/2024,52.75,52.75,52.75,52.75,,13.46%,2024-03-22
03/21/2024,46.5,46.5,46.5,46.5,,0.00%,2024-03-21
03/20/2024,46.49,46.49,46.49,46.49,,0.00%,2024-03-20
03/19/2024,46.49,46.49,46.49,46.49,,0.04%,2024-03-19
03/18/2024,46.47,46.47,46.47,46.47,,0.05%,2024-03-18
03/15/2024,46.45,46.45,46.45,46.45,,-0.11%,2024-03-15
03/14/2024,46.5,46.5,46.5,46.5,,0.00%,2024-03-14
03/13/2024,46.49,46.49,46.49,46.49,,0.00%,2024-03-13
45629,46.49,46.49,46.49,46.49,,0.00%,2024-12-03
45599,46.49,46.49,46.49,46.49,,-0.01%,2024-11-03
45507,46.5,46.5,46.5,46.5,,0.00%,2024-08-03
45476,46.5,46.5,46.5,46.5,,0.00%,2024-07-03
45446,46.5,46.5,46.5,46.5,,0.01%,2024-06-03
45415,46.49,46.49,46.49,46.49,,0.00%,2024-05-03
45385,46.49,46.49,46.49,46.49,,0.26%,2024-04-03
45294,46.37,46.37,46.37,46.37,,4.37%,2024-01-03
02/29/2024,44.43,44.43,44.43,44.43,,-3.48%,2024-02-29
02/28/2024,46.03,46.03,46.03,46.03,,-0.86%,2024-02-28
02/27/2024,46.43,46.43,46.43,46.43,,-0.11%,2024-02-27
02/26/2024,46.48,46.48,46.48,46.48,,-0.02%,2024-02-26
02/23/2024,46.49,46.49,46.49,46.49,,0.04%,2024-02-23
02/22/2024,46.47,46.47,46.47,46.47,,1.26%,2024-02-22
02/21/2024,45.89,45.89,45.89,45.89,,2.11%,2024-02-21
02/20/2024,44.94,44.94,44.94,44.94,,-0.05%,2024-02-20
02/19/2024,44.96,44.96,44.96,44.96,,-2.01%,2024-02-19
02/16/2024,45.88,45.88,45.88,45.88,,-0.34%,2024-02-16
02/15/2024,46.04,46.04,46.04,46.04,,2.47%,2024-02-15
02/14/2024,44.93,44.93,44.93,44.93,,2.46%,2024-02-14
02/13/2024,43.85,43.85,43.85,43.85,,-2.01%,2024-02-13
45628,44.75,44.75,44.75,44.75,,-1.03%,2024-12-02
45537,45.22,45.22,45.22,45.22,,-0.31%,2024-09-02
45506,45.36,45.36,45.36,45.36,,-0.77%,2024-08-02
45475,45.71,45.71,45.71,45.71,,-0.39%,2024-07-02
45445,45.89,45.89,45.89,45.89,,-0.31%,2024-06-02
45414,46.03,46.03,46.03,46.03,,-0.62%,2024-05-02
45324,46.32,46.32,46.32,46.32,,4.07%,2024-02-02
45293,44.51,44.51,44.51,44.51,,2.32%,2024-01-02
01/31/2024,43.5,43.5,43.5,43.5,,-0.02%,2024-01-31
