Week,is ilanlari
03-01-16,57
10-01-16,55
17-01-16,53
24-01-16,54
31-01-16,59
07-02-16,61
14-02-16,59
21-02-16,62
28-02-16,58
06-03-16,57
13-03-16,51
20-03-16,56
27-03-16,56
03-04-16,53
10-04-16,50
17-04-16,52
24-04-16,49
01-05-16,50
08-05-16,54
15-05-16,49
22-05-16,55
29-05-16,55
05-06-16,53
12-06-16,59
19-06-16,64
26-06-16,53
03-07-16,41
10-07-16,64
17-07-16,63
24-07-16,71
31-07-16,74
07-08-16,69
14-08-16,68
21-08-16,70
28-08-16,65
04-09-16,61
11-09-16,41
18-09-16,77
25-09-16,76
02-10-16,72
09-10-16,72
16-10-16,70
23-10-16,71
30-10-16,68
06-11-16,69
13-11-16,66
20-11-16,66
27-11-16,69
04-12-16,67
11-12-16,63
18-12-16,62
25-12-16,60
01-01-17,64
08-01-17,63
15-01-17,68
22-01-17,66
29-01-17,67
05-02-17,75
12-02-17,72
19-02-17,73
26-02-17,70
05-03-17,67
12-03-17,62
19-03-17,62
26-03-17,62
02-04-17,58
09-04-17,56
16-04-17,54
23-04-17,55
30-04-17,56
07-05-17,56
14-05-17,56
21-05-17,58
28-05-17,59
04-06-17,64
11-06-17,61
18-06-17,56
25-06-17,61
02-07-17,72
09-07-17,74
16-07-17,72
23-07-17,71
30-07-17,69
06-08-17,68
13-08-17,66
20-08-17,60
27-08-17,42
03-09-17,68
10-09-17,73
17-09-17,77
24-09-17,74
01-10-17,76
08-10-17,69
15-10-17,69
22-10-17,70
29-10-17,68
05-11-17,71
12-11-17,71
19-11-17,65
26-11-17,66
03-12-17,64
10-12-17,67
17-12-17,65
24-12-17,59
31-12-17,65
07-01-18,69
14-01-18,66
21-01-18,62
28-01-18,67
04-02-18,69
11-02-18,62
18-02-18,68
25-02-18,67
04-03-18,63
11-03-18,63
18-03-18,63
25-03-18,61
01-04-18,59
08-04-18,59
15-04-18,59
22-04-18,58
29-04-18,54
06-05-18,56
13-05-18,53
20-05-18,55
27-05-18,62
03-06-18,59
10-06-18,48
17-06-18,73
24-06-18,69
01-07-18,80
08-07-18,75
15-07-18,72
22-07-18,78
29-07-18,71
05-08-18,67
12-08-18,57
19-08-18,44
26-08-18,77
02-09-18,95
09-09-18,90
16-09-18,88
23-09-18,86
30-09-18,89
07-10-18,91
14-10-18,91
21-10-18,80
28-10-18,84
04-11-18,88
11-11-18,87
18-11-18,82
25-11-18,89
02-12-18,89
09-12-18,83
16-12-18,88
23-12-18,88
30-12-18,92
06-01-19,95
13-01-19,95
20-01-19,93
27-01-19,89
03-02-19,99
10-02-19,89
17-02-19,88
24-02-19,85
03-03-19,83
10-03-19,81
17-03-19,82
24-03-19,78
31-03-19,66
07-04-19,78
14-04-19,75
21-04-19,72
28-04-19,74
05-05-19,66
12-05-19,72
19-05-19,71
26-05-19,62
02-06-19,55
09-06-19,91
16-06-19,100
23-06-19,95
30-06-19,98
07-07-19,93
14-07-19,89
21-07-19,88
28-07-19,82
04-08-19,67
11-08-19,61
18-08-19,82
25-08-19,85
01-09-19,89
08-09-19,89
15-09-19,90
22-09-19,83
29-09-19,86
06-10-19,83
13-10-19,84
20-10-19,84
27-10-19,76
03-11-19,80
10-11-19,81
17-11-19,78
24-11-19,73
01-12-19,75
08-12-19,72
15-12-19,72
22-12-19,67
29-12-19,69
