Week,konut kredisi: (Turkey)
03-01-16,8
10-01-16,8
17-01-16,8
24-01-16,8
31-01-16,7
07-02-16,8
14-02-16,8
21-02-16,10
28-02-16,8
06-03-16,8
13-03-16,8
20-03-16,9
27-03-16,9
03-04-16,8
10-04-16,9
17-04-16,12
24-04-16,11
01-05-16,10
08-05-16,9
15-05-16,9
22-05-16,9
29-05-16,9
05-06-16,7
12-06-16,7
19-06-16,9
26-06-16,8
03-07-16,9
10-07-16,10
17-07-16,9
24-07-16,10
31-07-16,14
07-08-16,55
14-08-16,38
21-08-16,21
28-08-16,19
04-09-16,15
11-09-16,9
18-09-16,20
25-09-16,12
02-10-16,11
09-10-16,11
16-10-16,13
23-10-16,13
30-10-16,21
06-11-16,16
13-11-16,15
20-11-16,13
27-11-16,12
04-12-16,13
11-12-16,11
18-12-16,10
25-12-16,10
01-01-17,9
08-01-17,10
15-01-17,13
22-01-17,16
29-01-17,32
05-02-17,25
12-02-17,20
19-02-17,15
26-02-17,11
05-03-17,9
12-03-17,10
19-03-17,10
26-03-17,9
02-04-17,10
09-04-17,8
16-04-17,8
23-04-17,10
30-04-17,11
07-05-17,10
14-05-17,10
21-05-17,9
28-05-17,9
04-06-17,9
11-06-17,9
18-06-17,9
25-06-17,9
02-07-17,9
09-07-17,10
16-07-17,11
23-07-17,10
30-07-17,10
06-08-17,9
13-08-17,10
20-08-17,9
27-08-17,7
03-09-17,10
10-09-17,10
17-09-17,10
24-09-17,9
01-10-17,9
08-10-17,9
15-10-17,9
22-10-17,8
29-10-17,8
05-11-17,10
12-11-17,10
19-11-17,10
26-11-17,9
03-12-17,9
10-12-17,10
17-12-17,10
24-12-17,7
31-12-17,10
07-01-18,11
14-01-18,11
21-01-18,11
28-01-18,13
04-02-18,12
11-02-18,10
18-02-18,10
25-02-18,10
04-03-18,11
11-03-18,10
18-03-18,11
25-03-18,11
01-04-18,10
08-04-18,10
15-04-18,9
22-04-18,11
29-04-18,10
06-05-18,58
13-05-18,32
20-05-18,22
27-05-18,16
03-06-18,15
10-06-18,12
17-06-18,14
24-06-18,19
01-07-18,23
08-07-18,16
15-07-18,19
22-07-18,18
29-07-18,15
05-08-18,16
12-08-18,20
19-08-18,12
26-08-18,42
02-09-18,25
09-09-18,25
16-09-18,22
23-09-18,16
30-09-18,14
07-10-18,13
14-10-18,14
21-10-18,10
28-10-18,12
04-11-18,12
11-11-18,11
18-11-18,17
25-11-18,14
02-12-18,13
09-12-18,28
16-12-18,40
23-12-18,17
30-12-18,12
06-01-19,16
13-01-19,17
20-01-19,13
27-01-19,17
03-02-19,22
10-02-19,21
17-02-19,31
24-02-19,42
03-03-19,36
10-03-19,29
17-03-19,23
24-03-19,16
31-03-19,12
07-04-19,14
14-04-19,16
21-04-19,13
28-04-19,12
05-05-19,11
12-05-19,13
19-05-19,12
26-05-19,10
02-06-19,10
09-06-19,12
16-06-19,23
23-06-19,14
30-06-19,19
07-07-19,16
14-07-19,17
21-07-19,35
28-07-19,100
04-08-19,54
11-08-19,31
18-08-19,34
25-08-19,28
01-09-19,31
08-09-19,43
15-09-19,41
22-09-19,32
29-09-19,39
06-10-19,22
13-10-19,21
20-10-19,23
27-10-19,25
03-11-19,26
10-11-19,25
17-11-19,24
24-11-19,21
01-12-19,22
08-12-19,24
15-12-19,26
22-12-19,36
29-12-19,43
