Category: All categories

Week,kredi: (Turkey)
2016-01-03,61
2016-01-10,50
2016-01-17,53
2016-01-24,54
2016-01-31,56
2016-02-07,56
2016-02-14,56
2016-02-21,60
2016-02-28,59
2016-03-06,56
2016-03-13,52
2016-03-20,50
2016-03-27,51
2016-04-03,52
2016-04-10,51
2016-04-17,53
2016-04-24,50
2016-05-01,53
2016-05-08,50
2016-05-15,48
2016-05-22,49
2016-05-29,53
2016-06-05,49
2016-06-12,54
2016-06-19,54
2016-06-26,55
2016-07-03,39
2016-07-10,52
2016-07-17,46
2016-07-24,52
2016-07-31,57
2016-08-07,66
2016-08-14,65
2016-08-21,57
2016-08-28,59
2016-09-04,66
2016-09-11,39
2016-09-18,65
2016-09-25,71
2016-10-02,71
2016-10-09,61
2016-10-16,60
2016-10-23,55
2016-10-30,67
2016-11-06,64
2016-11-13,66
2016-11-20,62
2016-11-27,58
2016-12-04,59
2016-12-11,57
2016-12-18,64
2016-12-25,56
2017-01-01,53
2017-01-08,51
2017-01-15,58
2017-01-22,57
2017-01-29,62
2017-02-05,61
2017-02-12,63
2017-02-19,58
2017-02-26,74
2017-03-05,58
2017-03-12,60
2017-03-19,57
2017-03-26,52
2017-04-02,56
2017-04-09,52
2017-04-16,49
2017-04-23,51
2017-04-30,54
2017-05-07,56
2017-05-14,54
2017-05-21,53
2017-05-28,54
2017-06-04,56
2017-06-11,58
2017-06-18,57
2017-06-25,51
2017-07-02,61
2017-07-09,58
2017-07-16,57
2017-07-23,57
2017-07-30,63
2017-08-06,60
2017-08-13,65
2017-08-20,58
2017-08-27,48
2017-09-03,60
2017-09-10,61
2017-09-17,60
2017-09-24,57
2017-10-01,59
2017-10-08,57
2017-10-15,62
2017-10-22,54
2017-10-29,53
2017-11-05,54
2017-11-12,58
2017-11-19,54
2017-11-26,54
2017-12-03,55
2017-12-10,60
2017-12-17,55
2017-12-24,54
2017-12-31,52
2018-01-07,54
2018-01-14,52
2018-01-21,47
2018-01-28,54
2018-02-04,55
2018-02-11,53
2018-02-18,50
2018-02-25,53
2018-03-04,52
2018-03-11,51
2018-03-18,50
2018-03-25,50
2018-04-01,52
2018-04-08,49
2018-04-15,48
2018-04-22,47
2018-04-29,48
2018-05-06,58
2018-05-13,53
2018-05-20,52
2018-05-27,52
2018-06-03,54
2018-06-10,47
2018-06-17,47
2018-06-24,46
2018-07-01,57
2018-07-08,52
2018-07-15,56
2018-07-22,54
2018-07-29,55
2018-08-05,54
2018-08-12,55
2018-08-19,34
2018-08-26,59
2018-09-02,59
2018-09-09,60
2018-09-16,57
2018-09-23,52
2018-09-30,51
2018-10-07,51
2018-10-14,54
2018-10-21,43
2018-10-28,47
2018-11-04,49
2018-11-11,57
2018-11-18,47
2018-11-25,47
2018-12-02,48
2018-12-09,50
2018-12-16,54
2018-12-23,47
2018-12-30,44
2019-01-06,72
2019-01-13,67
2019-01-20,55
2019-01-27,54
2019-02-03,56
2019-02-10,56
2019-02-17,63
2019-02-24,70
2019-03-03,67
2019-03-10,62
2019-03-17,58
2019-03-24,51
2019-03-31,44
2019-04-07,49
2019-04-14,50
2019-04-21,45
2019-04-28,48
2019-05-05,44
2019-05-12,50
2019-05-19,45
2019-05-26,49
2019-06-02,35
2019-06-09,50
2019-06-16,50
2019-06-23,49
2019-06-30,56
2019-07-07,52
2019-07-14,50
2019-07-21,64
2019-07-28,100
2019-08-04,78
2019-08-11,54
2019-08-18,66
2019-08-25,55
2019-09-01,65
2019-09-08,78
2019-09-15,84
2019-09-22,76
2019-09-29,82
2019-10-06,66
2019-10-13,67
2019-10-20,63
2019-10-27,61
2019-11-03,66
2019-11-10,73
2019-11-17,64
2019-11-24,61
2019-12-01,61
2019-12-08,61
2019-12-15,64
2019-12-22,64
2019-12-29,62
